OrderNum,DeliveryAddress,ShippingFee,DeliveryCompany
1,"682 Gardner Lake Lake Christopher, RI 12485",11.17,FedEx
2,"552 Robert Pass Apt. 274 Donnaport, MH 95339",23.24,DHL
3,USS Smith FPO AA 51372,35.34,UPS
4,USNV Compton FPO AA 86780,25.78,DHL
5,"80382 Emily Burg Suite 482 Edwardsland, GU 78010",32.54,FedEx
6,"8994 Joshua Meadow Floreston, PA 27507",39.04,DHL
7,"28732 Stephen Burg Apt. 911 West Christopher, SD 71387",19.14,UPS
8,"520 Green Gateway Suite 577 Michellemouth, WA 57134",35.09,UPS
9,"82646 Murphy Falls East Stephenmouth, LA 72679",5.47,UPS
10,"332 Damon Wells Suite 661 Richmouth, NH 21709",13.24,DHL
11,"383 Cassandra Island South Robert, ID 64856",32.66,UPS
12,"44733 Alyssa Trace Suite 415 West Donnastad, PW 92907",13.66,FedEx
13,"765 Vanessa Row New Petermouth, NC 61056",8.09,DHL
14,"1706 Amanda Crossroad Apt. 019 West Neilport, NY 39848",13.46,UPS
15,"4850 Catherine View Wilsonside, NJ 81645",48.25,UPS
16,"99856 Jillian Skyway Suite 258 Heatherfurt, KY 66252",28.08,FedEx
17,"615 Anderson Track Apt. 682 Port Hannahbury, ID 69668",9.6,FedEx
18,"365 Hill Cliff Suite 027 South Erinton, WV 88346",23.39,FedEx
19,"PSC 8712, Box 4981 APO AP 11237",15.94,FedEx
20,"687 Hayes Hollow Suite 751 Scottland, GA 34447",25.75,UPS
21,Unknown Shipping Address,6.53,DHL
22,"623 Steven Springs Wardland, KS 01336",37.36,UPS
23,Unknown Shipping Address,41.89,DHL
24,"PSC 1722, Box 6108 APO AA 94432",35.46,UPS
25,"520 Bush Green Apt. 661 West Jamie, SC 68852",28.1,UPS
26,"987 Bell Fords Suite 744 New Colleen, ID 88265",18.67,UPS
27,"2036 Jason Shoals Suite 955 Bradyshire, KY 12576",22.71,FedEx
28,"4730 Joseph Hollow South Annette, NY 74314",20.68,FedEx
29,"89603 Susan Port Apt. 484 East Jamie, CT 58128",28.05,UPS
30,"PSC 1603, Box 1622 APO AA 40560",36.94,DHL
31,"422 Carrie Stream South Lisa, IL 34149",14.12,FedEx
32,"608 Wilson Common South Richard, CO 61412",48.3,UPS
33,"69317 Nancy Park New Haley, MH 65127",41.22,FedEx
34,"0094 Danny Canyon West Karenview, ND 61943",32.22,DHL
35,Unknown Shipping Address,13.2,DHL
36,"PSC 0873, Box 5656 APO AE 09809",32.58,FedEx
37,"PSC 7726, Box 3156 APO AA 89580",39.31,UPS
